Name,mean_return,volatility,cluster
A,0.00045330200373210744,0.015481806412272626,0
AAL,0.0012453612187455676,0.02245637755121898,2
AAP,0.0004434449713894306,0.018958138885447794,0
AAPL,0.0007861966919191563,0.01459301224965473,1
ABBV,0.001050223858667442,0.016856306384996914,0
ABC,0.0006523881924228675,0.013935023955270432,1
ABT,0.0005005460797792888,0.012322015333823886,1
ACN,0.0006664360013762718,0.011838506286352397,1
ADBE,0.0013829962647808015,0.015321282039661994,0
ADI,0.0006078383690368357,0.014933920133064535,1
ADM,0.0003678631236638477,0.01428396714280017,1
ADP,0.000561629480720941,0.01146595438334992,1
ADS,0.0005162952278956292,0.01671019579156048,0
ADSK,0.0010069565702430874,0.018774307384526876,0
AEE,0.00044672527947012426,0.010740425857065364,1
AEP,0.00034874318926925597,0.01052890079848115,1
AES,8.244251490963322e-05,0.015867542741902628,0
AET,0.0011241774720479598,0.014748735283227435,1
AFL,0.0004750056014191542,0.010284172697361585,1
AGN,0.0006894405405462622,0.017843453208891608,0
AIG,0.0004385793374840984,0.01307245405870278,1
AIV,0.00032215799554515857,0.011864545977609782,1
AIZ,0.0007449314403404724,0.012934232446271487,1
AJG,0.00048677453077200717,0.009584504324256147,1
AKAM,0.000701731359552692,0.0213175758556857,0
ALB,0.0005762974976882053,0.0174778374538444,0
ALGN,0.0017749568203682953,0.02070238233982038,0
ALK,0.0009582159474275744,0.019267582320521788,0
ALL,0.0006586646433919792,0.010135176650597643,1
ALLE,0.0005574684003182807,0.013116094693626427,1
ALXN,0.00046191679424325926,0.023933498097044037,2
AMAT,0.0011625691376221637,0.01729543523194264,0
AMD,0.0018816625376722714,0.03778425338134906,2
AME,0.0005301717551046714,0.011632920860790085,1
AMG,0.0003398729664073444,0.01682662708974991,0
AMGN,0.0006920118909722743,0.015694610667973927,0
AMP,0.0008175078352087674,0.015419017641921206,0
AMT,0.0005450030374448824,0.01185600788137782,1
AMZN,0.0015075349642273222,0.018234785907175626,0
ANDV,0.0007058502832863115,0.02041844500833801,0
ANSS,0.0006646958138755218,0.012976840244999273,1
ANTM,0.001119561021028089,0.014250257547587868,1
AON,0.0007839702921199438,0.010938851252945829,1
AOS,0.0011134221339196308,0.013986552812426169,1
APA,-0.0003446965944293767,0.02283656716106614,2
APC,-4.412701012833252e-05,0.022147420827182646,2
APD,0.0005384129816189338,0.01228300329262067,1
APH,0.0007965372603800118,0.01144037746835846,1
APTV,0.001358069681869245,0.01446512189754145,1
ARE,0.00045509076790494716,0.011180447319468122,1
ARNC,0.0002533687465860575,0.024180187245633714,2
ATVI,0.0014805617455376657,0.01875714932860133,0
AVB,0.00022264069183379408,0.010863789069080122,1
AVGO,0.0017160415329650748,0.020119898740337778,0
AVY,0.0009336733307895299,0.012710970061881405,1
AWK,0.0006000639599354988,0.010285509154460859,1
AXP,0.00040943325487194967,0.012563416013090745,1
AYI,0.0007883823047928557,0.01957859966548346,0
AZO,0.0005849337026298053,0.012600498836823237,1
BA,0.0012956813091653744,0.013500879457976157,1
BAC,0.0009011888489805182,0.015745249239252877,0
BAX,0.00013475837702918854,0.016742610271404675,0
BBT,0.0005217596987070221,0.012165692172632232,1
BBY,0.0015355444151169569,0.02482367164629635,2
BDX,0.000790802610118625,0.010741086513196246,1
BEN,-2.70901882075698e-05,0.014692434765089302,1
BF.B,0.0006164818037184929,0.01143862119356649,1
BHF,-0.0010527442769526422,0.017296291668593772,0
BHGE,-0.003838680170372616,0.03521895106574669,2
BIIB,0.0007832559365364997,0.02167581891340362,0
BK,0.0006293948228034254,0.013007237737791994,1
BLK,0.0007324234235226603,0.013627933642365435,1
BLL,0.000517933935409593,0.012717148552289935,1
BMY,0.0005399120640877992,0.015478915726892724,0
BRK.B,0.0006180069989694351,0.009298457009546547,1
